,index,City Name,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind-Speed,Wind-Direction
352,2289,Dukat,ru,62.55,155.55,37.51,85,88,3.62,180.002
353,2348,Inta,ru,66.04,60.13,30.13,92,92,4.41,245.502
354,2285,Pokrovsk,ru,61.48,129.14,57.04,70,0,3.96,267.002
355,1289,Puerto Del Rosario,es,28.5,-13.86,66.2,63,20,14.99,360
356,1088,Savannah Bight,hn,16.45,-85.85,83.68,100,0,13.02,280.002
357,1214,Clarence Town,bs,23.1,-74.98,80.26,96,20,18.28,101.502
358,1873,Ketchikan,us,55.34,-131.65,47.62,87,90,10.29,140
359,853,Labuan,my,5.33,115.2,79.59,83,75,4.7,60
360,2232,Kondinskoye,ru,59.65,67.41,39.31,84,92,8.66,35.502
361,2070,Horki,by,54.29,30.98,55.87,61,0,11.12,76.002
362,194,Yegros,py,-26.46,-56.4,69.91,70,0,2.39,73.502
363,1838,Quimper,fr,48,-4.1,59.29,87,40,3.36,40
